Journal title,ISSN,eISSN,Publisher name,Publisher address,Languages,Web of Science Categories
ACTA PSYCHOLOGICA,0001-6918,1873-6297,ELSEVIER,"RADARWEG 29, AMSTERDAM, NETHERLANDS, 1043 NX",English,"Psychology, Experimental"
ADAPTIVE BEHAVIOR,1059-7123,1741-2633,SAGE PUBLICATIONS LTD,"1 OLIVERS YARD, 55 CITY ROAD, LONDON, ENGLAND, EC1Y 1SP",English,"Psychology, Experimental | Social Sciences, Interdisciplinary"
ADDICTIVE BEHAVIORS,0306-4603,1873-6327,PERGAMON-ELSEVIER SCIENCE LTD,"THE BOULEVARD, LANGFORD LANE, KIDLINGTON, OXFORD, ENGLAND, OX5 1GB",English,"Substance Abuse | Psychology, Clinical"
ADVANCES IN CHILD DEVELOPMENT AND BEHAVIOR,0065-2407,NA,ELSEVIER ACADEMIC PRESS INC,"525 B STREET, SUITE 1900, SAN DIEGO, USA, CA, 92101-4495",English,"Psychology, Developmental"
ADVANCES IN COGNITIVE PSYCHOLOGY,1895-1171,1895-1171,UNIV ECONOMICS & HUMAN SCIENCES WARSAW,"OKOPOWA 59, WARSAW, Poland, 01-043",English,"Psychology, Experimental"
ADVANCES IN EXPERIMENTAL SOCIAL PSYCHOLOGY,0065-2601,NA,ELSEVIER ACADEMIC PRESS INC,"525 B STREET, SUITE 1900, SAN DIEGO, USA, CA, 92101-4495",English,"Psychology, Social | Psychology, Experimental"
AGGRESSION AND VIOLENT BEHAVIOR,1359-1789,1873-6335,PERGAMON-ELSEVIER SCIENCE LTD,"THE BOULEVARD, LANGFORD LANE, KIDLINGTON, OXFORD, ENGLAND, OX5 1GB",English,"Psychology, Multidisciplinary | Criminology & Penology"
AGGRESSIVE BEHAVIOR,0096-140X,1098-2337,WILEY,"111 RIVER ST, HOBOKEN, USA, NJ, 07030-5774",English,"Psychology, Multidisciplinary"
AGING NEUROPSYCHOLOGY AND COGNITION,1382-5585,1744-4128,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","2-4 PARK SQUARE, MILTON PARK, ABINGDON, ENGLAND, OXON, OX14 4RN",English,"Psychology, Developmental | Psychology, Experimental"
AIDS CARE-PSYCHOLOGICAL AND SOCIO-MEDICAL ASPECTS OF AIDS/HIV,0954-0121,1360-0451,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","2-4 PARK SQUARE, MILTON PARK, ABINGDON, ENGLAND, OXON, OX14 4RN",English,"Psychology, Multidisciplinary | Health Policy & Services | Public, Environmental & Occupational Health | Social Sciences, Biomedical"
AMERICAN BEHAVIORAL SCIENTIST,0002-7642,1552-3381,SAGE PUBLICATIONS INC,"2455 TELLER RD, THOUSAND OAKS, USA, CA, 91320",English,"Psychology, Clinical | Social Sciences, Interdisciplinary"
AMERICAN INDIAN AND ALASKA NATIVE MENTAL HEALTH RESEARCH,1533-7731,1533-7731,UNIV PRESS COLORADO,"PO BOX 849, NIWOT, USA, CO, 80544",English,"Psychology, Clinical"
AMERICAN JOURNAL OF CLINICAL HYPNOSIS,0002-9157,2160-0562,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","2-4 PARK SQUARE, MILTON PARK, ABINGDON, ENGLAND, OXON, OX14 4RN",English,"Psychology, Clinical"
AMERICAN JOURNAL OF COMMUNITY PSYCHOLOGY,0091-0562,1573-2770,WILEY,"111 RIVER ST, HOBOKEN, USA, NJ, 07030-5774",English,"Psychology, Multidisciplinary | Social Work | Public, Environmental & Occupational Health"
AMERICAN JOURNAL OF DRUG AND ALCOHOL ABUSE,0095-2990,1097-9891,TAYLOR & FRANCIS INC,"530 WALNUT STREET, STE 850, PHILADELPHIA, USA, PA, 19106",English,"Substance Abuse | Psychology, Clinical"
AMERICAN JOURNAL OF FAMILY THERAPY,0192-6187,1521-0383,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","2-4 PARK SQUARE, MILTON PARK, ABINGDON, ENGLAND, OXON, OX14 4RN",English,"Psychology, Clinical | Family Studies"
AMERICAN JOURNAL OF PSYCHOLOGY,0002-9556,1939-8298,UNIV ILLINOIS PRESS,"1325 S OAK ST, CHAMPAIGN, USA, IL, 61820-6903",English,"Psychology, Multidisciplinary"
AMERICAN PSYCHOLOGIST,0003-066X,1935-990X,AMER PSYCHOLOGICAL ASSOC,"750 FIRST ST NE, WASHINGTON, USA, DC, 20002-4242",English,"Psychology, Multidisciplinary"
ANALES DE PSICOLOGIA,0212-9728,1695-2294,UNIV MURCIA,"SOC ESPANOLA HISTORIA AGRARIA, CAMPUS ESPINARDO, MURCIA, SPAIN, 30100","Spanish, English","Psychology, Multidisciplinary"
ANALYSES OF SOCIAL ISSUES AND PUBLIC POLICY,1529-7489,1530-2415,WILEY,"111 RIVER ST, HOBOKEN, USA, NJ, 07030-5774",English,"Psychology, Social | Social Issues"
ANNALS OF BEHAVIORAL MEDICINE,0883-6612,1532-4796,OXFORD UNIV PRESS INC,"JOURNALS DEPT, 2001 EVANS RD, CARY, USA, NC, 27513",English,"Psychology, Multidisciplinary"
ANNEE PSYCHOLOGIQUE,0003-5033,1955-2580,PRESSES UNIV FRANCE,"6 AVENUE REILLE, PARIS CEDEX 14, FRANCE, 75685",Multi-Language,"Psychology, Multidisciplinary"
ANNUAL REVIEW OF CLINICAL PSYCHOLOGY,1548-5943,1548-5943,ANNUAL REVIEWS,"4139 EL CAMINO WAY, PO BOX 10139, PALO ALTO, USA, CA, 94303-0897",English,"Psychology, Clinical"
ANNUAL REVIEW OF ORGANIZATIONAL PSYCHOLOGY AND ORGANIZATIONAL BEHAVIOR,2327-0608,2327-0616,ANNUAL REVIEWS,"4139 EL CAMINO WAY, PO BOX 10139, PALO ALTO, USA, CA, 94303-0897",English,"Psychology, Applied | Management"
ANNUAL REVIEW OF PSYCHOLOGY,0066-4308,1545-2085,ANNUAL REVIEWS,"4139 EL CAMINO WAY, PO BOX 10139, PALO ALTO, USA, CA, 94303-0897",English,"Psychology, Multidisciplinary"
ANUARIO DE PSICOLOGIA JURIDICA,1133-0740,2174-0542,COLEGIO OFICIAL PSICOLOGOS MADRID,"C/CUESTA SAN VICENTE, NO 4, 6 PLANTA, MADRID, SPAIN, 28008","Spanish, English","Psychology, Multidisciplinary | Law"
ANXIETY STRESS AND COPING,1061-5806,1477-2205,TAYLOR & FRANCIS LTD,"2-4 PARK SQUARE, MILTON PARK, ABINGDON, England, OXON, OX14 4RN",English,"Psychology, Multidisciplinary | Psychiatry"
APPLIED COGNITIVE PSYCHOLOGY,0888-4080,1099-0720,WILEY,"111 RIVER ST, HOBOKEN, USA, NJ, 07030-5774",English,"Psychology, Experimental"
APPLIED DEVELOPMENTAL SCIENCE,1088-8691,1532-480X,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","2-4 PARK SQUARE, MILTON PARK, ABINGDON, ENGLAND, OXON, OX14 4RN",English,"Psychology, Developmental"
APPLIED ERGONOMICS,0003-6870,1872-9126,ELSEVIER SCI LTD,"THE BOULEVARD, LANGFORD LANE, KIDLINGTON, OXFORD, ENGLAND, OXON, OX5 1GB",English,"Ergonomics | Psychology, Applied"
APPLIED MEASUREMENT IN EDUCATION,0895-7347,1532-4818,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","2-4 PARK SQUARE, MILTON PARK, ABINGDON, ENGLAND, OXON, OX14 4RN",English,"Psychology, Mathematical | Psychology, Educational | Education & Educational Research"
APPLIED PSYCHOLINGUISTICS,0142-7164,1469-1817,CAMBRIDGE UNIV PRESS,"32 AVENUE OF THE AMERICAS, NEW YORK, USA, NY, 10013-2473",English,"Linguistics | Psychology, Experimental"
APPLIED PSYCHOLOGICAL MEASUREMENT,0146-6216,1552-3497,SAGE PUBLICATIONS INC,"2455 TELLER RD, THOUSAND OAKS, USA, CA, 91320",English,"Psychology, Mathematical | Social Sciences, Mathematical Methods"
APPLIED PSYCHOLOGY-AN INTERNATIONAL REVIEW-PSYCHOLOGIE APPLIQUEE-REVUE INTERNATIONALE,0269-994X,1464-0597,WILEY,"111 RIVER ST, HOBOKEN, USA, NJ, 07030-5774",Multi-Language,"Psychology, Applied"
APPLIED PSYCHOLOGY-HEALTH AND WELL BEING,1758-0846,1758-0854,WILEY,"111 RIVER ST, HOBOKEN, USA, NJ, 07030-5774",English,"Psychology, Applied"
APPLIED PSYCHOPHYSIOLOGY AND BIOFEEDBACK,1090-0586,1573-3270,SPRINGER/PLENUM PUBLISHERS,"233 SPRING ST, NEW YORK, USA, NY, 10013",English,"Psychology, Clinical"
ARCHIVE FOR THE PSYCHOLOGY OF RELIGION-ARCHIV FUR RELIGIONSPSYCHOLOGIE,0084-6724,1573-6121,SAGE PUBLICATIONS LTD,"1 OLIVERS YARD, 55 CITY ROAD, LONDON, ENGLAND, EC1Y 1SP",Multi-Language,"Psychology, Multidisciplinary"
ARCHIVES OF CLINICAL NEUROPSYCHOLOGY,0887-6177,1873-5843,OXFORD UNIV PRESS,"GREAT CLARENDON ST, OXFORD, ENGLAND, OX2 6DP",English,"Psychology, Clinical"
ARCHIVES OF SEXUAL BEHAVIOR,0004-0002,1573-2800,SPRINGER/PLENUM PUBLISHERS,"233 SPRING ST, NEW YORK, USA, NY, 10013",English,"Psychology, Clinical | Social Sciences, Interdisciplinary"
ARCHIVES OF SUICIDE RESEARCH,1381-1118,1543-6136,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","2-4 PARK SQUARE, MILTON PARK, ABINGDON, ENGLAND, OXON, OX14 4RN",English,"Psychology, Multidisciplinary | Psychiatry"
ARTS IN PSYCHOTHERAPY,0197-4556,1873-5878,PERGAMON-ELSEVIER SCIENCE LTD,"THE BOULEVARD, LANGFORD LANE, KIDLINGTON, OXFORD, ENGLAND, OX5 1GB",English,"Psychology, Clinical | Rehabilitation"
ASIAN AMERICAN JOURNAL OF PSYCHOLOGY,1948-1985,1948-1993,EDUCATIONAL PUBLISHING FOUNDATION-AMERICAN PSYCHOLOGICAL ASSOC,"750 FIRST ST, NE, WASHINGTON, USA, DC, 20002-4242",English,"Psychology, Multidisciplinary | Ethnic Studies"
ASIAN JOURNAL OF SOCIAL PSYCHOLOGY,1367-2223,1467-839X,WILEY,"111 RIVER ST, HOBOKEN, USA, NJ, 07030-5774",English,"Psychology, Social"
ASSESSMENT,1073-1911,1552-3489,SAGE PUBLICATIONS INC,"2455 TELLER RD, THOUSAND OAKS, USA, CA, 91320",English,"Psychology, Clinical"
ATTACHMENT & HUMAN DEVELOPMENT,1461-6734,1469-2988,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","2-4 PARK SQUARE, MILTON PARK, ABINGDON, ENGLAND, OXON, OX14 4RN",English,"Psychology, Developmental"
ATTENTION PERCEPTION & PSYCHOPHYSICS,1943-3921,1943-393X,SPRINGER,"ONE NEW YORK PLAZA, SUITE 4600 , NEW YORK, United States, NY, 10004",English,"Psychology, Experimental"
AUSTRALIAN JOURNAL OF PSYCHOLOGY,0004-9530,1742-9536,WILEY,"111 RIVER ST, HOBOKEN, USA, NJ, 07030-5774",English,"Psychology, Multidisciplinary"
AUSTRALIAN PSYCHOLOGIST,0005-0067,1742-9544,WILEY,"111 RIVER ST, HOBOKEN, USA, NJ, 07030-5774",English,"Psychology, Multidisciplinary"
AUTISM,1362-3613,1461-7005,SAGE PUBLICATIONS LTD,"1 OLIVERS YARD, 55 CITY ROAD, LONDON, ENGLAND, EC1Y 1SP",English,"Psychology, Developmental"
AUTISM RESEARCH,1939-3792,1939-3806,WILEY,"111 RIVER ST, HOBOKEN, USA, NJ, 07030-5774",English,"Psychology, Developmental"
BASIC AND APPLIED SOCIAL PSYCHOLOGY,0197-3533,1532-4834,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","2-4 PARK SQUARE, MILTON PARK, ABINGDON, ENGLAND, OXON, OX14 4RN",English,"Psychology, Social"
BEHAVIORAL AND BRAIN SCIENCES,0140-525X,1469-1825,CAMBRIDGE UNIV PRESS,"32 AVENUE OF THE AMERICAS, NEW YORK, USA, NY, 10013-2473",English,"Psychology, Biological"
BEHAVIORAL DISORDERS,0198-7429,2163-5307,SAGE PUBLICATIONS INC,"2455 TELLER RD, THOUSAND OAKS, USA, CA, 91320",English,"Psychology, Clinical | Psychology, Educational | Education, Special"
BEHAVIORAL INTERVENTIONS,1072-0847,1099-078X,WILEY,"111 RIVER ST, HOBOKEN, USA, NJ, 07030-5774",English,"Psychology, Clinical"
BEHAVIORAL PSYCHOLOGY-PSICOLOGIA CONDUCTUAL,1132-9483,1132-9483,FUNDACION VECA PARA AVANCE PSICOLOGIA,"APARTADO CORREOS 1245, GRANADA, SPAIN, 18080",Spanish,"Psychology, Clinical"
BEHAVIORAL SCIENCES & THE LAW,0735-3936,1099-0798,WILEY,"111 RIVER ST, HOBOKEN, USA, NJ, 07030-5774",English,"Law | Psychology, Applied"
BEHAVIOR GENETICS,0001-8244,1573-3297,SPRINGER,"ONE NEW YORK PLAZA, SUITE 4600 , NEW YORK, United States, NY, 10004",English,"Psychology, Multidisciplinary"
BEHAVIOR MODIFICATION,0145-4455,1552-4167,SAGE PUBLICATIONS INC,"2455 TELLER RD, THOUSAND OAKS, USA, CA, 91320",English,"Psychology, Clinical"
BEHAVIOR RESEARCH METHODS,1554-351X,1554-3528,SPRINGER,"ONE NEW YORK PLAZA, SUITE 4600 , NEW YORK, United States, NY, 10004",English,"Psychology, Mathematical | Psychology, Experimental"
BEHAVIOR THERAPY,0005-7894,1878-1888,ELSEVIER INC,"525 B STREET, STE 1900, SAN DIEGO, USA, CA, 92101-4495",English,"Psychology, Clinical | Psychiatry"
BEHAVIOURAL AND COGNITIVE PSYCHOTHERAPY,1352-4658,1469-1833,CAMBRIDGE UNIV PRESS,"32 AVENUE OF THE AMERICAS, NEW YORK, USA, NY, 10013-2473",English,"Psychology, Clinical"
BEHAVIOURAL PROCESSES,0376-6357,1872-8308,ELSEVIER,"RADARWEG 29, AMSTERDAM, NETHERLANDS, 1043 NX",English,"Psychology, Biological"
BEHAVIOUR CHANGE,0813-4839,2049-7768,CAMBRIDGE UNIV PRESS,"32 AVENUE OF THE AMERICAS, NEW YORK, USA, NY, 10013-2473",English,"Psychology, Clinical"
BEHAVIOUR RESEARCH AND THERAPY,0005-7967,1873-622X,PERGAMON-ELSEVIER SCIENCE LTD,"THE BOULEVARD, LANGFORD LANE, KIDLINGTON, OXFORD, ENGLAND, OX5 1GB",English,"Psychology, Clinical"
BILINGUALISM-LANGUAGE AND COGNITION,1366-7289,1469-1841,CAMBRIDGE UNIV PRESS,"32 AVENUE OF THE AMERICAS, NEW YORK, USA, NY, 10013-2473",English,"Linguistics | Psychology, Experimental"
BIOLOGICAL PSYCHOLOGY,0301-0511,1873-6246,ELSEVIER,"RADARWEG 29, AMSTERDAM, NETHERLANDS, 1043 NX",Dutch,"Psychology, Biological | Psychology, Experimental"
BIOPSYCHOSOCIAL MEDICINE,1751-0759,1751-0759,BMC,"CAMPUS, 4 CRINAN ST, LONDON, ENGLAND, N1 9XW",English,"Psychology, Multidisciplinary | Psychiatry"
BODY IMAGE,1740-1445,1873-6807,ELSEVIER,"RADARWEG 29, AMSTERDAM, NETHERLANDS, 1043 NX",English,"Psychology, Clinical | Psychology, Multidisciplinary | Psychiatry"
BRAIN AND COGNITION,0278-2626,1090-2147,ACADEMIC PRESS INC ELSEVIER SCIENCE,"525 B ST, STE 1900, SAN DIEGO, USA, CA, 92101-4495",English,"Psychology, Experimental"
BRAIN AND LANGUAGE,0093-934X,1090-2155,ACADEMIC PRESS INC ELSEVIER SCIENCE,"525 B ST, STE 1900, SAN DIEGO, USA, CA, 92101-4495",English,"Linguistics | Psychology, Experimental"
BRITISH JOURNAL OF CLINICAL PSYCHOLOGY,0144-6657,2044-8260,WILEY,"111 RIVER ST, HOBOKEN, USA, NJ, 07030-5774",English,"Psychology, Clinical"
BRITISH JOURNAL OF DEVELOPMENTAL PSYCHOLOGY,0261-510X,2044-835X,WILEY,"111 RIVER ST, HOBOKEN, USA, NJ, 07030-5774",English,"Psychology, Developmental"
BRITISH JOURNAL OF EDUCATIONAL PSYCHOLOGY,0007-0998,2044-8279,WILEY,"111 RIVER ST, HOBOKEN, USA, NJ, 07030-5774",English,"Psychology, Educational"
BRITISH JOURNAL OF GUIDANCE & COUNSELLING,0306-9885,1469-3534,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","2-4 PARK SQUARE, MILTON PARK, ABINGDON, ENGLAND, OXON, OX14 4RN",English,"Psychology, Applied"
BRITISH JOURNAL OF HEALTH PSYCHOLOGY,1359-107X,2044-8287,WILEY,"111 RIVER ST, HOBOKEN, USA, NJ, 07030-5774",English,"Psychology, Clinical"
BRITISH JOURNAL OF MATHEMATICAL & STATISTICAL PSYCHOLOGY,0007-1102,2044-8317,WILEY,"111 RIVER ST, HOBOKEN, USA, NJ, 07030-5774",English,"Psychology, Mathematical | Psychology, Experimental"
BRITISH JOURNAL OF PSYCHOLOGY,0007-1269,2044-8295,WILEY,"111 RIVER ST, HOBOKEN, USA, NJ, 07030-5774",English,"Psychology, Multidisciplinary"
BRITISH JOURNAL OF SOCIAL PSYCHOLOGY,0144-6665,2044-8309,WILEY,"111 RIVER ST, HOBOKEN, USA, NJ, 07030-5774",English,"Psychology, Social"
BULLETIN OF THE MENNINGER CLINIC,0025-9284,1943-2828,GUILFORD PUBLICATIONS INC,"370 SEVENTH AVE, SUITE 1200, NEW YORK, USA, NY, 10001-1020",English,"Psychology, Psychoanalysis | Psychiatry"
CANADIAN JOURNAL OF BEHAVIOURAL SCIENCE-REVUE CANADIENNE DES SCIENCES DU COMPORTEMENT,0008-400X,1879-2669,CANADIAN PSYCHOLOGICAL  ASSOC,"141 LAURIER AVE WEST, STE 702, OTTAWA, CANADA, ONTARIO, K1P 5J3",Multi-Language,"Psychology, Multidisciplinary"
CANADIAN JOURNAL OF EXPERIMENTAL PSYCHOLOGY-REVUE CANADIENNE DE PSYCHOLOGIE EXPERIMENTALE,1196-1961,1878-7290,CANADIAN PSYCHOLOGICAL  ASSOC,"141 LAURIER AVE WEST, STE 702, OTTAWA, CANADA, ONTARIO, K1P 5J3",Multi-Language,"Psychology, Experimental"
CANADIAN JOURNAL OF SCHOOL PSYCHOLOGY,0829-5735,2154-3984,SAGE PUBLICATIONS INC,"2455 TELLER RD, THOUSAND OAKS, USA, CA, 91320",English,"Psychology, Educational"
CANADIAN PSYCHOLOGY-PSYCHOLOGIE CANADIENNE,0708-5591,1878-7304,CANADIAN PSYCHOLOGICAL  ASSOC,"141 LAURIER AVE WEST, STE 702, OTTAWA, CANADA, ONTARIO, K1P 5J3",Multi-Language,"Psychology, Multidisciplinary"
CAREER DEVELOPMENT INTERNATIONAL,1362-0436,1758-6003,EMERALD GROUP PUBLISHING LTD,"HOWARD HOUSE, WAGON LANE, BINGLEY, ENGLAND, W YORKSHIRE, BD16 1WA",English,"Management | Psychology, Applied"
CAREER DEVELOPMENT QUARTERLY,0889-4019,2161-0045,WILEY,"111 RIVER ST, HOBOKEN, USA, NJ, 07030-5774",English,"Psychology, Applied"
CESKOSLOVENSKA PSYCHOLOGIE,0009-062X,1804-6436,ACADEMIA,"PUBL HOUSE CZECH ACAD SCI VODICKOVA 40, PRAGUE 1, CZECH REPUBLIC, 112 29",Multi-Language,"Psychology, Multidisciplinary"
CHILD ABUSE & NEGLECT,0145-2134,1873-7757,PERGAMON-ELSEVIER SCIENCE LTD,"THE BOULEVARD, LANGFORD LANE, KIDLINGTON, OXFORD, ENGLAND, OX5 1GB",English,"Family Studies | Psychology, Social | Social Work"
CHILD AND ADOLESCENT MENTAL HEALTH,1475-357X,1475-3588,WILEY,"111 RIVER ST, HOBOKEN, USA, NJ, 07030-5774",English,"Psychiatry | Psychology, Clinical"
CHILD CARE HEALTH AND DEVELOPMENT,0305-1862,1365-2214,WILEY,"111 RIVER ST, HOBOKEN, USA, NJ, 07030-5774",English,"Psychology, Developmental"
CHILD DEVELOPMENT,0009-3920,1467-8624,WILEY,"111 RIVER ST, HOBOKEN, USA, NJ, 07030-5774",English,"Psychology, Developmental | Psychology, Educational"
CHILD DEVELOPMENT PERSPECTIVES,1750-8592,1750-8606,WILEY,"111 RIVER ST, HOBOKEN, USA, NJ, 07030-5774",English,"Psychology, Developmental"
CHILD & FAMILY BEHAVIOR THERAPY,0731-7107,1545-228X,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","2-4 PARK SQUARE, MILTON PARK, ABINGDON, ENGLAND, OXON, OX14 4RN",English,"Psychology, Clinical | Family Studies"
CHILD PSYCHIATRY & HUMAN DEVELOPMENT,0009-398X,1573-3327,SPRINGER,"ONE NEW YORK PLAZA, SUITE 4600 , NEW YORK, United States, NY, 10004",English,"Psychology, Developmental | Psychiatry"
CHILD & YOUTH CARE FORUM,1053-1890,1573-3319,SPRINGER,"ONE NEW YORK PLAZA, SUITE 4600 , NEW YORK, United States, NY, 10004",English,"Psychology, Developmental"
CLINICAL CASE STUDIES,1534-6501,1552-3802,SAGE PUBLICATIONS INC,"2455 TELLER RD, THOUSAND OAKS, USA, CA, 91320",English,"Psychology, Clinical | Psychiatry"
CLINICAL CHILD AND FAMILY PSYCHOLOGY REVIEW,1096-4037,1573-2827,SPRINGER/PLENUM PUBLISHERS,"233 SPRING ST, NEW YORK, USA, NY, 10013",English,"Psychology, Clinical"
CLINICAL CHILD PSYCHOLOGY AND PSYCHIATRY,1359-1045,1461-7021,SAGE PUBLICATIONS INC,"2455 TELLER RD, THOUSAND OAKS, USA, CA, 91320",English,"Psychiatry | Psychology, Clinical | Psychology, Developmental"
CLINICAL NEUROPSYCHOLOGIST,1385-4046,1744-4144,TAYLOR & FRANCIS INC,"530 WALNUT STREET, STE 850, PHILADELPHIA, USA, PA, 19106",English,"Psychology, Clinical"
CLINICAL PSYCHOLOGIST,1328-4207,1742-9552,WILEY,"111 RIVER ST, HOBOKEN, USA, NJ, 07030-5774",English,"Psychology, Clinical"
CLINICAL PSYCHOLOGY & PSYCHOTHERAPY,1063-3995,1099-0879,WILEY,"111 RIVER ST, HOBOKEN, USA, NJ, 07030-5774",English,"Psychology, Clinical"
CLINICAL PSYCHOLOGY REVIEW,0272-7358,1873-7811,PERGAMON-ELSEVIER SCIENCE LTD,"THE BOULEVARD, LANGFORD LANE, KIDLINGTON, OXFORD, ENGLAND, OX5 1GB",English,"Psychology, Clinical"
CLINICAL PSYCHOLOGY-SCIENCE AND PRACTICE,0969-5893,1468-2850,WILEY,"111 RIVER ST, HOBOKEN, USA, NJ, 07030-5774",English,"Psychology, Clinical"
CLINICA Y SALUD,1130-5274,2174-0550,COLEGIO OFICIAL PSICOLOGOS MADRID,"C/CUESTA SAN VICENTE, NO 4, 6 PLANTA, MADRID, SPAIN, 28008","Spanish, English","Psychology, Clinical"
COGNITION,0010-0277,1873-7838,ELSEVIER,"RADARWEG 29, AMSTERDAM, NETHERLANDS, 1043 NX",English,"Psychology, Experimental"
COGNITION AND INSTRUCTION,0737-0008,1532-690X,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","2-4 PARK SQUARE, MILTON PARK, ABINGDON, ENGLAND, OXON, OX14 4RN",English,"Psychology, Educational | Psychology, Experimental"
COGNITION & EMOTION,0269-9931,1464-0600,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","2-4 PARK SQUARE, MILTON PARK, ABINGDON, ENGLAND, OXON, OX14 4RN",English,"Psychology, Experimental"
COGNITIVE AND BEHAVIORAL PRACTICE,1077-7229,1878-187X,ELSEVIER SCIENCE INC,"STE 800, 230 PARK AVE, NEW YORK, USA, NY, 10169",English,"Psychology, Clinical"
COGNITIVE BEHAVIOUR THERAPY,1650-6073,1651-2316,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","2-4 PARK SQUARE, MILTON PARK, ABINGDON, ENGLAND, OXON, OX14 4RN",English,"Psychology, Clinical"
COGNITIVE DEVELOPMENT,0885-2014,1879-226X,ELSEVIER SCIENCE INC,"STE 800, 230 PARK AVE, NEW YORK, USA, NY, 10169",English,"Psychology, Developmental | Psychology, Experimental"
COGNITIVE NEUROPSYCHOLOGY,0264-3294,1464-0627,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","2-4 PARK SQUARE, MILTON PARK, ABINGDON, ENGLAND, OXON, OX14 4RN",English,"Psychology, Experimental"
COGNITIVE PROCESSING,1612-4782,1612-4790,SPRINGER HEIDELBERG,"TIERGARTENSTRASSE 17, HEIDELBERG, GERMANY, D-69121",English,"Psychology, Experimental"
COGNITIVE PSYCHOLOGY,0010-0285,1095-5623,ACADEMIC PRESS INC ELSEVIER SCIENCE,"525 B ST, STE 1900, SAN DIEGO, USA, CA, 92101-4495",English,"Psychology, Experimental"
COGNITIVE SCIENCE,0364-0213,1551-6709,WILEY,"111 RIVER ST, HOBOKEN, USA, NJ, 07030-5774",English,"Psychology, Experimental"
COGNITIVE SYSTEMS RESEARCH,2214-4366,1389-0417,ELSEVIER,"RADARWEG 29, AMSTERDAM, NETHERLANDS, 1043 NX",English,"Psychology, Experimental"
COGNITIVE THERAPY AND RESEARCH,0147-5916,1573-2819,SPRINGER/PLENUM PUBLISHERS,"233 SPRING ST, NEW YORK, USA, NY, 10013",English,"Psychology, Clinical"
COLLABRA-PSYCHOLOGY,2474-7394,2474-7394,UNIV CALIFORNIA PRESS,"155 GRAND AVE, SUITE 400, OAKLAND, USA, CA, 94612-3758",English,"Psychology, Multidisciplinary"
COMPUTERS IN HUMAN BEHAVIOR,0747-5632,1873-7692,PERGAMON-ELSEVIER SCIENCE LTD,"THE BOULEVARD, LANGFORD LANE, KIDLINGTON, OXFORD, ENGLAND, OX5 1GB",English,"Psychology, Multidisciplinary | Psychology, Experimental"
CONSCIOUSNESS AND COGNITION,1053-8100,1090-2376,ACADEMIC PRESS INC ELSEVIER SCIENCE,"525 B ST, STE 1900, SAN DIEGO, USA, CA, 92101-4495",English,"Psychology, Experimental"
CONTEMPORARY EDUCATIONAL PSYCHOLOGY,0361-476X,1090-2384,ACADEMIC PRESS INC ELSEVIER SCIENCE,"525 B ST, STE 1900, SAN DIEGO, USA, CA, 92101-4495",English,"Psychology, Educational"
CONTEMPORARY PSYCHOANALYSIS,0010-7530,2330-9091,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","2-4 PARK SQUARE, MILTON PARK, ABINGDON, ENGLAND, OXON, OX14 4RN",English,"Psychology, Psychoanalysis | Psychiatry"
CORTEX,0010-9452,1973-8102,"ELSEVIER MASSON, CORPORATION OFFICE","65 CAMILLE DESMOULINS CS50083 ISSY-LES-MOULINEAUX, PARIS, FRANCE, 92442",English,"Psychology, Experimental"
COUNSELING PSYCHOLOGIST,0011-0000,1552-3861,SAGE PUBLICATIONS INC,"2455 TELLER RD, THOUSAND OAKS, USA, CA, 91320",English,"Psychology, Applied"
CREATIVITY RESEARCH JOURNAL,1040-0419,1532-6934,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","2-4 PARK SQUARE, MILTON PARK, ABINGDON, ENGLAND, OXON, OX14 4RN",English,"Psychology, Multidisciplinary | Psychology, Educational"
CRIMINAL JUSTICE AND BEHAVIOR,0093-8548,1552-3594,SAGE PUBLICATIONS INC,"2455 TELLER RD, THOUSAND OAKS, USA, CA, 91320",English,"Psychology, Clinical | Criminology & Penology"
CRISIS-THE JOURNAL OF CRISIS INTERVENTION AND SUICIDE PREVENTION,0227-5910,2151-2396,HOGREFE & HUBER PUBLISHERS,"MERKELSTR 3, GOTTINGEN, GERMANY, D-37085",English,"Psychology, Multidisciplinary | Psychiatry"
